ds,yhat,yhat_lower,yhat_upper,model
2019-01,47104.23,18567.4,75641.07,SARIMAX
2019-02,41564.19,10371.96,72756.43,SARIMAX
2019-03,72388.06,41137.74,103638.38,SARIMAX
2019-04,54862.47,22899.7,86825.23,SARIMAX
2019-05,63801.17,31800.47,95801.87,SARIMAX
2019-06,61962.79,29629.14,94296.45,SARIMAX
2019-07,59674.96,27219.87,92130.06,SARIMAX
2019-08,56296.18,23608.73,88983.63,SARIMAX
2019-09,96846.68,63998.51,129694.85,SARIMAX
2019-10,84248.2,51200.11,117296.29,SARIMAX
2019-11,118437.42,85214.71,151660.12,SARIMAX
2019-12,103482.94,70072.42,136893.47,SARIMAX
